experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_deepseek_v4pro_50,run_003,run_018,0.055,0.204,0.031,0.0,False,False
real_deepseek_v4pro_50,run_003,run_019,0.069,0.715,0.191,0.5,True,True
real_deepseek_v4pro_50,run_003,run_020,0.029,0.494,0.016,0.5,True,True
real_deepseek_v4pro_50,run_003,run_021,0.084,0.489,0.018,0.5,True,True
real_deepseek_v4pro_50,run_003,run_022,0.031,0.449,0.017,0.25,True,True
real_deepseek_v4pro_50,run_003,run_023,0.039,0.327,0.031,0.0,False,True
real_deepseek_v4pro_50,run_003,run_024,0.016,0.444,0.242,0.167,False,False
real_deepseek_v4pro_50,run_003,run_025,0.038,0.305,0.019,0.333,False,False
real_deepseek_v4pro_50,run_003,run_026,0.034,0.256,0.006,0.0,False,True
real_deepseek_v4pro_50,run_003,run_027,0.056,0.299,0.033,1.0,False,False
real_deepseek_v4pro_50,run_003,run_028,0.038,0.338,0.07,0.25,False,False
real_deepseek_v4pro_50,run_003,run_029,0.049,0.297,0.08,0.0,False,False
real_deepseek_v4pro_50,run_003,run_030,0.063,0.791,0.016,0.333,True,True
real_deepseek_v4pro_50,run_003,run_031,0.027,0.312,0.024,0.5,False,False
real_deepseek_v4pro_50,run_003,run_032,0.055,0.034,0.032,0.0,False,True
real_deepseek_v4pro_50,run_003,run_033,0.078,0.308,0.037,0.667,False,False
real_deepseek_v4pro_50,run_003,run_034,0.032,0.429,0.143,0.5,False,False
real_deepseek_v4pro_50,run_003,run_035,0.016,0.021,0.342,0.0,False,True
real_deepseek_v4pro_50,run_003,run_036,0.029,0.387,0.031,0.167,False,False
real_deepseek_v4pro_50,run_003,run_037,0.095,0.928,0.139,0.333,True,True
real_deepseek_v4pro_50,run_003,run_038,0.046,0.45,0.077,0.5,False,True
real_deepseek_v4pro_50,run_003,run_039,0.058,0.826,0.016,0.333,True,True
real_deepseek_v4pro_50,run_003,run_040,0.049,0.317,0.094,0.0,True,True
real_deepseek_v4pro_50,run_003,run_041,0.092,0.285,0.101,0.333,False,False
real_deepseek_v4pro_50,run_003,run_042,0.054,0.091,0.019,0.0,False,True
real_deepseek_v4pro_50,run_003,run_043,0.042,0.297,0.146,0.333,False,False
real_deepseek_v4pro_50,run_003,run_044,0.076,0.302,0.025,0.5,False,False
real_deepseek_v4pro_50,run_003,run_045,0.052,0.01,0.114,0.333,False,False
real_deepseek_v4pro_50,run_003,run_046,0.055,0.5,0.051,0.0,False,False
real_deepseek_v4pro_50,run_003,run_047,0.044,0.167,0.022,0.5,False,False
real_deepseek_v4pro_50,run_003,run_048,0.04,0.775,0.015,0.333,True,True
real_deepseek_v4pro_50,run_003,run_049,0.04,0.928,0.022,0.5,True,True
real_deepseek_v4pro_50,run_003,run_050,0.07,0.502,0.008,0.667,True,True
real_deepseek_v4pro_50,run_004,run_005,0.046,0.23,0.031,0.0,False,False
real_deepseek_v4pro_50,run_004,run_006,0.064,0.25,0.052,0.0,False,False
real_deepseek_v4pro_50,run_004,run_007,0.049,0.442,0.06,0.25,False,True
real_deepseek_v4pro_50,run_004,run_008,0.053,0.359,0.023,0.0,False,False
real_deepseek_v4pro_50,run_004,run_009,0.024,0.124,0.06,0.0,False,True
real_deepseek_v4pro_50,run_004,run_010,0.011,0.047,0.018,0.0,False,False
real_deepseek_v4pro_50,run_004,run_011,0.064,0.176,0.088,0.25,False,False
real_deepseek_v4pro_50,run_004,run_012,0.071,0.065,0.061,0.333,False,True
real_deepseek_v4pro_50,run_004,run_013,0.036,0.244,0.012,0.0,False,False
real_deepseek_v4pro_50,run_004,run_014,0.047,0.234,0.015,0.25,False,True
real_deepseek_v4pro_50,run_004,run_015,0.084,0.25,0.075,0.667,False,True
real_deepseek_v4pro_50,run_004,run_016,0.102,0.505,0.108,0.333,False,True
real_deepseek_v4pro_50,run_004,run_017,0.071,0.423,0.067,0.4,False,True
real_deepseek_v4pro_50,run_004,run_018,0.048,0.194,0.043,0.2,False,False
real_deepseek_v4pro_50,run_004,run_019,0.036,0.719,0.106,0.333,False,True
real_deepseek_v4pro_50,run_004,run_020,0.048,0.435,0.023,0.333,False,True
real_deepseek_v4pro_50,run_004,run_021,0.031,0.466,0.061,0.333,False,True
real_deepseek_v4pro_50,run_004,run_022,0.016,0.391,0.093,0.2,False,True
real_deepseek_v4pro_50,run_004,run_023,0.093,0.332,0.062,0.25,False,True
real_deepseek_v4pro_50,run_004,run_024,0.076,0.3,0.224,0.0,False,False
real_deepseek_v4pro_50,run_004,run_025,0.03,0.384,0.031,0.25,False,False
real_deepseek_v4pro_50,run_004,run_026,0.08,0.204,0.06,0.0,False,True
real_deepseek_v4pro_50,run_004,run_027,0.089,0.356,0.014,0.25,False,False
