experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gpt56sol_med_50,run_003,run_020,0.131,0.463,0.062,1.0,False,False
real_gpt56sol_med_50,run_003,run_021,0.114,0.209,0.046,0.0,False,False
real_gpt56sol_med_50,run_003,run_022,0.152,0.419,0.105,1.0,True,True
real_gpt56sol_med_50,run_003,run_023,0.092,0.229,0.21,0.0,False,False
real_gpt56sol_med_50,run_003,run_024,0.138,0.085,0.216,1.0,False,False
real_gpt56sol_med_50,run_003,run_025,0.108,0.148,0.091,1.0,False,False
real_gpt56sol_med_50,run_003,run_026,0.252,0.316,0.038,1.0,False,False
real_gpt56sol_med_50,run_003,run_027,0.21,0.341,0.223,1.0,False,True
real_gpt56sol_med_50,run_003,run_028,0.092,0.29,0.114,0.0,False,False
real_gpt56sol_med_50,run_003,run_029,0.104,0.086,0.088,1.0,False,False
real_gpt56sol_med_50,run_003,run_030,0.072,0.28,0.032,0.0,False,False
real_gpt56sol_med_50,run_003,run_031,0.118,0.443,0.132,1.0,False,False
real_gpt56sol_med_50,run_003,run_032,0.177,0.141,0.151,1.0,False,False
real_gpt56sol_med_50,run_003,run_033,0.088,0.171,0.027,0.0,False,False
real_gpt56sol_med_50,run_003,run_034,0.171,0.149,0.037,1.0,False,False
real_gpt56sol_med_50,run_003,run_035,0.237,0.552,0.008,1.0,True,True
real_gpt56sol_med_50,run_003,run_036,0.129,0.458,0.132,1.0,False,False
real_gpt56sol_med_50,run_003,run_037,0.203,0.204,0.034,0.0,False,False
real_gpt56sol_med_50,run_003,run_038,0.153,0.35,0.01,1.0,False,False
real_gpt56sol_med_50,run_003,run_039,0.162,0.14,0.006,1.0,False,False
real_gpt56sol_med_50,run_003,run_040,0.101,0.414,0.044,1.0,False,False
real_gpt56sol_med_50,run_003,run_041,0.112,0.669,0.058,1.0,True,True
real_gpt56sol_med_50,run_003,run_042,0.109,0.327,0.015,0.0,False,False
real_gpt56sol_med_50,run_003,run_043,0.126,0.505,0.019,1.0,True,True
real_gpt56sol_med_50,run_003,run_044,0.122,0.229,0.037,0.0,False,False
real_gpt56sol_med_50,run_003,run_045,0.188,0.363,0.035,0.0,False,False
real_gpt56sol_med_50,run_003,run_046,0.162,0.502,0.118,1.0,False,False
real_gpt56sol_med_50,run_003,run_047,0.263,0.209,0.018,0.0,False,False
real_gpt56sol_med_50,run_003,run_048,0.194,0.109,0.043,0.0,False,False
real_gpt56sol_med_50,run_003,run_049,0.126,0.464,0.084,1.0,False,False
real_gpt56sol_med_50,run_003,run_050,0.179,0.234,0.016,0.0,False,False
real_gpt56sol_med_50,run_004,run_005,0.121,0.186,0.129,0.0,False,True
real_gpt56sol_med_50,run_004,run_006,0.111,0.156,0.099,1.0,False,False
real_gpt56sol_med_50,run_004,run_007,0.096,0.043,0.122,1.0,False,False
real_gpt56sol_med_50,run_004,run_008,0.174,0.404,0.02,1.0,True,True
real_gpt56sol_med_50,run_004,run_009,0.14,0.609,0.053,1.0,False,False
real_gpt56sol_med_50,run_004,run_010,0.154,0.308,0.22,1.0,False,True
real_gpt56sol_med_50,run_004,run_011,0.161,0.299,0.044,0.0,False,True
real_gpt56sol_med_50,run_004,run_012,0.216,0.514,0.031,1.0,False,False
real_gpt56sol_med_50,run_004,run_013,0.205,0.415,0.03,1.0,False,True
real_gpt56sol_med_50,run_004,run_014,0.138,0.186,0.092,0.0,False,True
real_gpt56sol_med_50,run_004,run_015,0.216,0.563,0.079,1.0,False,True
real_gpt56sol_med_50,run_004,run_016,0.136,0.078,0.064,1.0,False,False
real_gpt56sol_med_50,run_004,run_017,0.241,0.27,0.118,0.0,False,True
real_gpt56sol_med_50,run_004,run_018,0.123,0.211,0.175,0.0,False,True
real_gpt56sol_med_50,run_004,run_019,0.145,0.538,0.038,1.0,False,True
real_gpt56sol_med_50,run_004,run_020,0.157,0.678,0.154,1.0,True,True
real_gpt56sol_med_50,run_004,run_021,0.166,0.27,0.049,0.0,False,True
real_gpt56sol_med_50,run_004,run_022,0.178,0.317,0.19,1.0,False,False
real_gpt56sol_med_50,run_004,run_023,0.139,0.26,0.027,0.0,False,True
real_gpt56sol_med_50,run_004,run_024,0.201,0.276,0.022,1.0,True,True
real_gpt56sol_med_50,run_004,run_025,0.12,0.389,0.04,1.0,True,True
real_gpt56sol_med_50,run_004,run_026,0.188,0.487,0.032,1.0,False,True
